Training: 2024-02-02 12:22:23,655-rank_id: 0
Training: 2024-02-02 12:34:45,190-Speed 1987.58 samples/sec   Loss 36.1380   LearningRate 0.000998   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 262144   Required: 16 hours Feat Norm 10.5794  Reg Loss 0.0000  
Training: 2024-02-02 12:34:50,343-Speed 1987.52 samples/sec   Loss 35.9795   LearningRate 0.000998   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 262144   Required: 16 hours Feat Norm 10.6443  Reg Loss 0.0000  
Training: 2024-02-02 12:34:55,499-Speed 1986.69 samples/sec   Loss 35.9429   LearningRate 0.000998   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 262144   Required: 16 hours Feat Norm 11.1532  Reg Loss 0.0000  
Training: 2024-02-02 12:35:00,657-Speed 1985.65 samples/sec   Loss 35.8170   LearningRate 0.000998   Epoch: 0   Global Step: 420   Fp16 Grad Scale: 524288   Required: 16 hours Feat Norm 11.0967  Reg Loss 0.0000  
Training: 2024-02-02 12:35:05,818-Speed 1984.25 samples/sec   Loss 35.7240   LearningRate 0.000998   Epoch: 0   Global Step: 440   Fp16 Grad Scale: 524288   Required: 16 hours Feat Norm 9.6675  Reg Loss 0.0000  
Training: 2024-02-02 12:35:10,981-Speed 1984.02 samples/sec   Loss 35.4622   LearningRate 0.000998   Epoch: 0   Global Step: 460   Fp16 Grad Scale: 262144   Required: 16 hours Feat Norm 7.9760  Reg Loss 0.0000  
Training: 2024-02-02 12:35:16,143-Speed 1983.83 samples/sec   Loss 35.2731   LearningRate 0.000998   Epoch: 0   Global Step: 480   Fp16 Grad Scale: 131072   Required: 16 hours Feat Norm 7.1574  Reg Loss 0.0000  
Training: 2024-02-02 12:35:21,309-Speed 1982.72 samples/sec   Loss 35.2269   LearningRate 0.000998   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 131072   Required: 16 hours Feat Norm 7.7502  Reg Loss 0.0000  
Training: 2024-02-02 12:35:26,475-Speed 1982.38 samples/sec   Loss 35.1740   LearningRate 0.000997   Epoch: 0   Global Step: 520   Fp16 Grad Scale: 131072   Required: 16 hours Feat Norm 7.7270  Reg Loss 0.0000  
Training: 2024-02-02 12:35:31,637-Speed 1984.01 samples/sec   Loss 35.0543   LearningRate 0.000997   Epoch: 0   Global Step: 540   Fp16 Grad Scale: 131072   Required: 16 hours Feat Norm 7.3446  Reg Loss 0.0000  
Training: 2024-02-02 12:35:36,796-Speed 1985.27 samples/sec   Loss 35.0169   LearningRate 0.000997   Epoch: 0   Global Step: 560   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 6.6269  Reg Loss 0.0000  
Training: 2024-02-02 12:35:41,972-Speed 1978.45 samples/sec   Loss 34.9013   LearningRate 0.000997   Epoch: 0   Global Step: 580   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 6.8099  Reg Loss 0.0000  
Training: 2024-02-02 12:35:47,151-Speed 1977.92 samples/sec   Loss 34.8204   LearningRate 0.000997   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 6.5760  Reg Loss 0.0000  
Training: 2024-02-02 12:35:52,329-Speed 1977.68 samples/sec   Loss 34.7838   LearningRate 0.000997   Epoch: 0   Global Step: 620   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 6.2249  Reg Loss 0.0000  
Training: 2024-02-02 12:35:57,510-Speed 1976.75 samples/sec   Loss 34.8133   LearningRate 0.000997   Epoch: 0   Global Step: 640   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 6.1271  Reg Loss 0.0000  
Training: 2024-02-02 12:36:02,697-Speed 1974.70 samples/sec   Loss 34.7361   LearningRate 0.000997   Epoch: 0   Global Step: 660   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 6.5948  Reg Loss 0.0000  
Training: 2024-02-02 12:36:07,881-Speed 1975.58 samples/sec   Loss 34.6772   LearningRate 0.000997   Epoch: 0   Global Step: 680   Fp16 Grad Scale: 524288   Required: 15 hours Feat Norm 6.4110  Reg Loss 0.0000  
Training: 2024-02-02 12:36:13,064-Speed 1976.30 samples/sec   Loss 34.6535   LearningRate 0.000997   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 6.5551  Reg Loss 0.0001  
Training: 2024-02-02 12:36:18,246-Speed 1976.49 samples/sec   Loss 34.5811   LearningRate 0.000996   Epoch: 0   Global Step: 720   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 6.7665  Reg Loss 0.0000  
Training: 2024-02-02 12:36:23,427-Speed 1977.05 samples/sec   Loss 34.5781   LearningRate 0.000996   Epoch: 0   Global Step: 740   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 6.4877  Reg Loss 0.0000  
Training: 2024-02-02 12:36:28,611-Speed 1975.37 samples/sec   Loss 34.5738   LearningRate 0.000996   Epoch: 0   Global Step: 760   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 6.7148  Reg Loss 0.0000  
Training: 2024-02-02 12:36:33,797-Speed 1975.36 samples/sec   Loss 34.4901   LearningRate 0.000996   Epoch: 0   Global Step: 780   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 6.6334  Reg Loss 0.0000  
Training: 2024-02-02 12:36:38,985-Speed 1973.82 samples/sec   Loss 34.4727   LearningRate 0.000996   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 524288   Required: 15 hours Feat Norm 6.8401  Reg Loss 0.0000  
Training: 2024-02-02 12:36:44,179-Speed 1972.36 samples/sec   Loss 34.4748   LearningRate 0.000996   Epoch: 0   Global Step: 820   Fp16 Grad Scale: 524288   Required: 15 hours Feat Norm 6.4483  Reg Loss 0.0000  
Training: 2024-02-02 12:36:49,371-Speed 1972.61 samples/sec   Loss 34.4315   LearningRate 0.000996   Epoch: 0   Global Step: 840   Fp16 Grad Scale: 524288   Required: 15 hours Feat Norm 6.3577  Reg Loss 0.0000  
Training: 2024-02-02 12:36:54,558-Speed 1974.25 samples/sec   Loss 34.3883   LearningRate 0.000996   Epoch: 0   Global Step: 860   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 6.1673  Reg Loss 0.0000  
Training: 2024-02-02 12:36:59,752-Speed 1972.28 samples/sec   Loss 34.3869   LearningRate 0.000996   Epoch: 0   Global Step: 880   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 6.5134  Reg Loss 0.0000  
Training: 2024-02-02 12:37:04,943-Speed 1972.79 samples/sec   Loss 34.2891   LearningRate 0.000996   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 6.4093  Reg Loss 0.0000  
Training: 2024-02-02 12:37:10,134-Speed 1973.22 samples/sec   Loss 34.3021   LearningRate 0.000995   Epoch: 0   Global Step: 920   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 6.2442  Reg Loss 0.0000  
Training: 2024-02-02 12:37:15,325-Speed 1973.17 samples/sec   Loss 34.2694   LearningRate 0.000995   Epoch: 0   Global Step: 940   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 5.8838  Reg Loss 0.0000  
Training: 2024-02-02 12:37:20,515-Speed 1973.18 samples/sec   Loss 34.2134   LearningRate 0.000995   Epoch: 0   Global Step: 960   Fp16 Grad Scale: 524288   Required: 15 hours Feat Norm 6.0786  Reg Loss 0.0000  
Training: 2024-02-02 12:37:25,705-Speed 1973.56 samples/sec   Loss 34.2207   LearningRate 0.000995   Epoch: 0   Global Step: 980   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 5.8093  Reg Loss 0.0000  
Training: 2024-02-02 12:37:30,899-Speed 1972.06 samples/sec   Loss 34.1937   LearningRate 0.000995   Epoch: 0   Global Step: 1000   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 5.4340  Reg Loss 0.0000  
Training: 2024-02-02 12:37:36,091-Speed 1972.50 samples/sec   Loss 34.1215   LearningRate 0.000995   Epoch: 0   Global Step: 1020   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 5.2979  Reg Loss 0.0000  
Training: 2024-02-02 12:37:41,287-Speed 1971.17 samples/sec   Loss 34.1393   LearningRate 0.000995   Epoch: 0   Global Step: 1040   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 5.2310  Reg Loss 0.0000  
Training: 2024-02-02 12:37:46,482-Speed 1971.65 samples/sec   Loss 34.0883   LearningRate 0.000995   Epoch: 0   Global Step: 1060   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 5.1018  Reg Loss 0.0000  
Training: 2024-02-02 12:37:51,679-Speed 1970.46 samples/sec   Loss 34.0159   LearningRate 0.000995   Epoch: 0   Global Step: 1080   Fp16 Grad Scale: 524288   Required: 15 hours Feat Norm 4.6399  Reg Loss 0.0000  
Training: 2024-02-02 12:37:56,876-Speed 1970.65 samples/sec   Loss 34.0349   LearningRate 0.000995   Epoch: 0   Global Step: 1100   Fp16 Grad Scale: 524288   Required: 15 hours Feat Norm 4.9049  Reg Loss 0.0000  
Training: 2024-02-02 12:38:02,071-Speed 1971.67 samples/sec   Loss 33.9271   LearningRate 0.000994   Epoch: 0   Global Step: 1120   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 4.5390  Reg Loss 0.0000  
Training: 2024-02-02 12:38:07,268-Speed 1970.68 samples/sec   Loss 33.9580   LearningRate 0.000994   Epoch: 0   Global Step: 1140   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 4.6292  Reg Loss 0.0000  
Training: 2024-02-02 12:38:12,467-Speed 1970.03 samples/sec   Loss 33.9009   LearningRate 0.000994   Epoch: 0   Global Step: 1160   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 4.8160  Reg Loss 0.0000  
Training: 2024-02-02 12:38:17,666-Speed 1969.90 samples/sec   Loss 33.8666   LearningRate 0.000994   Epoch: 0   Global Step: 1180   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 4.2086  Reg Loss 0.0000  
Training: 2024-02-02 12:38:22,868-Speed 1968.95 samples/sec   Loss 33.8283   LearningRate 0.000994   Epoch: 0   Global Step: 1200   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 4.0992  Reg Loss 0.0000  
Training: 2024-02-02 12:38:28,065-Speed 1970.60 samples/sec   Loss 33.7977   LearningRate 0.000994   Epoch: 0   Global Step: 1220   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 4.1011  Reg Loss 0.0000  
Training: 2024-02-02 12:38:33,266-Speed 1969.37 samples/sec   Loss 33.7535   LearningRate 0.000994   Epoch: 0   Global Step: 1240   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 4.2813  Reg Loss 0.0000  
Training: 2024-02-02 12:38:38,466-Speed 1969.58 samples/sec   Loss 33.7044   LearningRate 0.000994   Epoch: 0   Global Step: 1260   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 3.9836  Reg Loss 0.0000  
Training: 2024-02-02 12:38:43,666-Speed 1969.70 samples/sec   Loss 33.6465   LearningRate 0.000994   Epoch: 0   Global Step: 1280   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 3.9547  Reg Loss 0.0000  
Training: 2024-02-02 12:38:48,862-Speed 1971.20 samples/sec   Loss 33.6269   LearningRate 0.000994   Epoch: 0   Global Step: 1300   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.9991  Reg Loss 0.0003  
Training: 2024-02-02 12:38:54,064-Speed 1969.22 samples/sec   Loss 33.6089   LearningRate 0.000993   Epoch: 0   Global Step: 1320   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.7536  Reg Loss 0.0000  
Training: 2024-02-02 12:38:59,270-Speed 1967.40 samples/sec   Loss 33.5802   LearningRate 0.000993   Epoch: 0   Global Step: 1340   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.7442  Reg Loss 0.0000  
Training: 2024-02-02 12:39:04,477-Speed 1966.71 samples/sec   Loss 33.5521   LearningRate 0.000993   Epoch: 0   Global Step: 1360   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.8737  Reg Loss 0.0000  
Training: 2024-02-02 12:39:09,681-Speed 1968.21 samples/sec   Loss 33.4918   LearningRate 0.000993   Epoch: 0   Global Step: 1380   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 4.4638  Reg Loss 0.0000  
Training: 2024-02-02 12:39:14,883-Speed 1969.01 samples/sec   Loss 33.3987   LearningRate 0.000993   Epoch: 0   Global Step: 1400   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.7468  Reg Loss 0.0000  
Training: 2024-02-02 12:39:20,086-Speed 1968.51 samples/sec   Loss 33.4077   LearningRate 0.000993   Epoch: 0   Global Step: 1420   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.7702  Reg Loss 0.0000  
Training: 2024-02-02 12:39:25,284-Speed 1970.58 samples/sec   Loss 33.3643   LearningRate 0.000993   Epoch: 0   Global Step: 1440   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.7058  Reg Loss 0.0000  
Training: 2024-02-02 12:39:30,485-Speed 1969.19 samples/sec   Loss 33.2280   LearningRate 0.000993   Epoch: 0   Global Step: 1460   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.6270  Reg Loss 0.0009  
Training: 2024-02-02 12:39:35,687-Speed 1969.07 samples/sec   Loss 33.2609   LearningRate 0.000993   Epoch: 0   Global Step: 1480   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.8038  Reg Loss 0.0000  
Training: 2024-02-02 12:39:40,887-Speed 1969.65 samples/sec   Loss 33.1499   LearningRate 0.000993   Epoch: 0   Global Step: 1500   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.6890  Reg Loss 0.0000  
Training: 2024-02-02 12:39:46,089-Speed 1968.73 samples/sec   Loss 33.2047   LearningRate 0.000992   Epoch: 0   Global Step: 1520   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.5822  Reg Loss 0.0027  
Training: 2024-02-02 12:39:51,290-Speed 1969.44 samples/sec   Loss 33.1274   LearningRate 0.000992   Epoch: 0   Global Step: 1540   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.8376  Reg Loss 0.0000  
Training: 2024-02-02 12:39:56,491-Speed 1969.29 samples/sec   Loss 33.1677   LearningRate 0.000992   Epoch: 0   Global Step: 1560   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.6665  Reg Loss 0.0000  
Training: 2024-02-02 12:40:01,690-Speed 1969.89 samples/sec   Loss 33.0071   LearningRate 0.000992   Epoch: 0   Global Step: 1580   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.6361  Reg Loss 0.0004  
Training: 2024-02-02 12:40:06,891-Speed 1969.36 samples/sec   Loss 33.0195   LearningRate 0.000992   Epoch: 0   Global Step: 1600   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.9802  Reg Loss 0.0000  
Training: 2024-02-02 12:40:12,090-Speed 1970.12 samples/sec   Loss 32.9705   LearningRate 0.000992   Epoch: 0   Global Step: 1620   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.9008  Reg Loss 0.0000  
Training: 2024-02-02 12:40:17,292-Speed 1968.91 samples/sec   Loss 32.9708   LearningRate 0.000992   Epoch: 0   Global Step: 1640   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.7557  Reg Loss 0.0000  
Training: 2024-02-02 12:40:22,492-Speed 1969.67 samples/sec   Loss 32.9015   LearningRate 0.000992   Epoch: 0   Global Step: 1660   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.8959  Reg Loss 0.0000  
Training: 2024-02-02 12:40:27,688-Speed 1970.92 samples/sec   Loss 32.7787   LearningRate 0.000992   Epoch: 0   Global Step: 1680   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.8459  Reg Loss 0.0000  
Training: 2024-02-02 12:40:32,888-Speed 1969.91 samples/sec   Loss 32.8219   LearningRate 0.000992   Epoch: 0   Global Step: 1700   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.5611  Reg Loss 0.0000  
Training: 2024-02-02 12:40:38,091-Speed 1968.29 samples/sec   Loss 32.7326   LearningRate 0.000991   Epoch: 0   Global Step: 1720   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.5350  Reg Loss 0.0000  
Training: 2024-02-02 12:40:43,294-Speed 1968.75 samples/sec   Loss 32.6707   LearningRate 0.000991   Epoch: 0   Global Step: 1740   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.5432  Reg Loss 0.0024  
Training: 2024-02-02 12:40:48,497-Speed 1968.62 samples/sec   Loss 32.6680   LearningRate 0.000991   Epoch: 0   Global Step: 1760   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.5029  Reg Loss 0.0000  
Training: 2024-02-02 12:40:53,689-Speed 1972.47 samples/sec   Loss 32.6591   LearningRate 0.000991   Epoch: 0   Global Step: 1780   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.2304  Reg Loss 0.0000  
Training: 2024-02-02 12:40:58,887-Speed 1970.28 samples/sec   Loss 32.5696   LearningRate 0.000991   Epoch: 0   Global Step: 1800   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 3.4671  Reg Loss 0.0000  
Training: 2024-02-02 12:41:04,083-Speed 1971.19 samples/sec   Loss 32.5189   LearningRate 0.000991   Epoch: 0   Global Step: 1820   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 3.7407  Reg Loss 0.0000  
Training: 2024-02-02 12:41:09,284-Speed 1969.28 samples/sec   Loss 32.4829   LearningRate 0.000991   Epoch: 0   Global Step: 1840   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 3.5667  Reg Loss 0.0000  
Training: 2024-02-02 12:41:14,490-Speed 1967.31 samples/sec   Loss 32.3855   LearningRate 0.000991   Epoch: 0   Global Step: 1860   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 3.6074  Reg Loss 0.0000  
Training: 2024-02-02 12:41:19,688-Speed 1970.24 samples/sec   Loss 32.3986   LearningRate 0.000991   Epoch: 0   Global Step: 1880   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.4647  Reg Loss 0.0001  
Training: 2024-02-02 12:41:24,890-Speed 1969.03 samples/sec   Loss 32.2883   LearningRate 0.000991   Epoch: 0   Global Step: 1900   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.3899  Reg Loss 0.0044  
Training: 2024-02-02 12:41:30,092-Speed 1968.89 samples/sec   Loss 32.2872   LearningRate 0.000991   Epoch: 0   Global Step: 1920   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.4169  Reg Loss 0.0009  
Training: 2024-02-02 12:41:35,293-Speed 1969.08 samples/sec   Loss 32.2303   LearningRate 0.000990   Epoch: 0   Global Step: 1940   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.2874  Reg Loss 0.0249  
Training: 2024-02-02 12:41:40,494-Speed 1969.48 samples/sec   Loss 32.1737   LearningRate 0.000990   Epoch: 0   Global Step: 1960   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.4634  Reg Loss 0.0022  
Training: 2024-02-02 12:41:45,695-Speed 1969.29 samples/sec   Loss 32.1178   LearningRate 0.000990   Epoch: 0   Global Step: 1980   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.4318  Reg Loss 0.0000  
Training: 2024-02-02 12:41:50,898-Speed 1968.48 samples/sec   Loss 32.1345   LearningRate 0.000990   Epoch: 0   Global Step: 2000   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.7320  Reg Loss 0.0000  
Training: 2024-02-02 12:41:57,048-[lfw][2000]XNorm: 3.632992
Training: 2024-02-02 12:41:57,049-[lfw][2000]Accuracy-Flip: 0.79700+-0.01711
Training: 2024-02-02 12:41:57,049-[lfw][2000]Accuracy-Highest: 0.79700
Training: 2024-02-02 12:42:04,179-[cfp_fp][2000]XNorm: 4.016779
Training: 2024-02-02 12:42:04,180-[cfp_fp][2000]Accuracy-Flip: 0.62271+-0.01742
Training: 2024-02-02 12:42:04,181-[cfp_fp][2000]Accuracy-Highest: 0.62271
Training: 2024-02-02 12:42:10,346-[agedb_30][2000]XNorm: 3.779218
Training: 2024-02-02 12:42:10,347-[agedb_30][2000]Accuracy-Flip: 0.52017+-0.01901
Training: 2024-02-02 12:42:10,348-[agedb_30][2000]Accuracy-Highest: 0.52017
Training: 2024-02-02 12:42:15,540-Speed 415.58 samples/sec   Loss 32.0393   LearningRate 0.000990   Epoch: 0   Global Step: 2020   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.7203  Reg Loss 0.0000  
Training: 2024-02-02 12:42:20,733-Speed 1972.38 samples/sec   Loss 32.0059   LearningRate 0.000990   Epoch: 0   Global Step: 2040   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.5223  Reg Loss 0.0000  
Training: 2024-02-02 12:42:25,926-Speed 1972.10 samples/sec   Loss 31.8961   LearningRate 0.000990   Epoch: 0   Global Step: 2060   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.4577  Reg Loss 0.0005  
Training: 2024-02-02 12:42:31,122-Speed 1971.20 samples/sec   Loss 31.8828   LearningRate 0.000990   Epoch: 0   Global Step: 2080   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.4241  Reg Loss 0.0011  
Training: 2024-02-02 12:42:36,316-Speed 1972.00 samples/sec   Loss 31.8862   LearningRate 0.000990   Epoch: 0   Global Step: 2100   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 3.6895  Reg Loss 0.0000  
Training: 2024-02-02 12:42:41,515-Speed 1970.25 samples/sec   Loss 31.8042   LearningRate 0.000990   Epoch: 0   Global Step: 2120   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 3.4100  Reg Loss 0.0000  
Training: 2024-02-02 12:42:46,713-Speed 1970.38 samples/sec   Loss 31.7232   LearningRate 0.000989   Epoch: 0   Global Step: 2140   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 3.9533  Reg Loss 0.0000  
Training: 2024-02-02 12:42:51,910-Speed 1970.80 samples/sec   Loss 31.7424   LearningRate 0.000989   Epoch: 0   Global Step: 2160   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 3.4841  Reg Loss 0.0000  
Training: 2024-02-02 12:42:57,112-Speed 1969.15 samples/sec   Loss 31.6650   LearningRate 0.000989   Epoch: 0   Global Step: 2180   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 3.4234  Reg Loss 0.0009  
