Training: 2024-02-18 00:57:08,166-rank_id: 0
Training: 2024-02-18 00:58:39,118-Speed 2017.78 samples/sec   Loss 22.3807   LearningRate 0.000999   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 262144   Required: 16 hours Feat Norm 1.9823  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:58:44,207-Speed 2012.59 samples/sec   Loss 22.2978   LearningRate 0.000999   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 262144   Required: 16 hours Feat Norm 2.2303  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:58:49,296-Speed 2012.93 samples/sec   Loss 22.2454   LearningRate 0.000999   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 262144   Required: 16 hours Feat Norm 2.1833  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:58:54,387-Speed 2011.73 samples/sec   Loss 22.1878   LearningRate 0.000999   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 262144   Required: 16 hours Feat Norm 2.4283  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:58:59,479-Speed 2011.42 samples/sec   Loss 22.1051   LearningRate 0.000999   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 524288   Required: 16 hours Feat Norm 2.5158  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:59:04,565-Speed 2013.72 samples/sec   Loss 22.0302   LearningRate 0.000998   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 524288   Required: 16 hours Feat Norm 2.5499  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:59:09,656-Speed 2012.04 samples/sec   Loss 21.9692   LearningRate 0.000998   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 524288   Required: 16 hours Feat Norm 2.7386  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:59:14,755-Speed 2008.86 samples/sec   Loss 21.9078   LearningRate 0.000998   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 524288   Required: 16 hours Feat Norm 2.9750  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:59:19,864-Speed 2004.87 samples/sec   Loss 21.8482   LearningRate 0.000998   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 524288   Required: 15 hours Feat Norm 2.9619  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:59:24,974-Speed 2004.56 samples/sec   Loss 21.8040   LearningRate 0.000998   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 1048576   Required: 15 hours Feat Norm 3.0328  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:59:30,071-Speed 2009.48 samples/sec   Loss 21.7318   LearningRate 0.000998   Epoch: 0   Global Step: 420   Fp16 Grad Scale: 524288   Required: 15 hours Feat Norm 3.0827  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:59:35,173-Speed 2007.91 samples/sec   Loss 21.6591   LearningRate 0.000998   Epoch: 0   Global Step: 440   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 3.2109  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:59:40,281-Speed 2005.02 samples/sec   Loss 21.6080   LearningRate 0.000998   Epoch: 0   Global Step: 460   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 3.2376  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:59:45,393-Speed 2003.94 samples/sec   Loss 21.5287   LearningRate 0.000998   Epoch: 0   Global Step: 480   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 3.3115  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:59:50,502-Speed 2004.54 samples/sec   Loss 21.4712   LearningRate 0.000998   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 3.3731  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 00:59:55,613-Speed 2004.15 samples/sec   Loss 21.3708   LearningRate 0.000997   Epoch: 0   Global Step: 520   Fp16 Grad Scale: 262144   Required: 15 hours Feat Norm 3.4751  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:00:00,723-Speed 2004.22 samples/sec   Loss 21.3519   LearningRate 0.000997   Epoch: 0   Global Step: 540   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.6459  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:00:05,837-Speed 2002.90 samples/sec   Loss 21.2882   LearningRate 0.000997   Epoch: 0   Global Step: 560   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.4376  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:00:10,948-Speed 2004.08 samples/sec   Loss 21.2112   LearningRate 0.000997   Epoch: 0   Global Step: 580   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.7528  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:00:16,059-Speed 2004.02 samples/sec   Loss 21.1881   LearningRate 0.000997   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.8630  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:00:21,167-Speed 2005.16 samples/sec   Loss 21.1442   LearningRate 0.000997   Epoch: 0   Global Step: 620   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.8626  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:00:26,276-Speed 2004.97 samples/sec   Loss 21.0908   LearningRate 0.000997   Epoch: 0   Global Step: 640   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.9296  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:00:31,384-Speed 2005.08 samples/sec   Loss 21.0359   LearningRate 0.000997   Epoch: 0   Global Step: 660   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 3.8848  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:00:36,491-Speed 2005.62 samples/sec   Loss 21.0072   LearningRate 0.000997   Epoch: 0   Global Step: 680   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.8852  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:00:41,608-Speed 2001.68 samples/sec   Loss 20.9055   LearningRate 0.000997   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 4.0081  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:00:46,716-Speed 2005.22 samples/sec   Loss 20.9015   LearningRate 0.000996   Epoch: 0   Global Step: 720   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 4.0444  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:00:51,823-Speed 2005.57 samples/sec   Loss 20.7924   LearningRate 0.000996   Epoch: 0   Global Step: 740   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 3.9961  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:00:56,939-Speed 2002.40 samples/sec   Loss 20.8010   LearningRate 0.000996   Epoch: 0   Global Step: 760   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 4.0304  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:01:02,047-Speed 2005.27 samples/sec   Loss 20.7034   LearningRate 0.000996   Epoch: 0   Global Step: 780   Fp16 Grad Scale: 131072   Required: 15 hours Feat Norm 4.0496  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:01:07,152-Speed 2006.39 samples/sec   Loss 20.6571   LearningRate 0.000996   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 4.1439  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:01:12,259-Speed 2005.62 samples/sec   Loss 20.6030   LearningRate 0.000996   Epoch: 0   Global Step: 820   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 4.2138  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:01:17,365-Speed 2006.08 samples/sec   Loss 20.5905   LearningRate 0.000996   Epoch: 0   Global Step: 840   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 4.3308  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:01:22,476-Speed 2004.08 samples/sec   Loss 20.5512   LearningRate 0.000996   Epoch: 0   Global Step: 860   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 4.3920  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:01:27,587-Speed 2003.86 samples/sec   Loss 20.5041   LearningRate 0.000996   Epoch: 0   Global Step: 880   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 4.3545  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:01:32,691-Speed 2007.09 samples/sec   Loss 20.5004   LearningRate 0.000996   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 4.3959  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:01:37,794-Speed 2007.06 samples/sec   Loss 20.4504   LearningRate 0.000995   Epoch: 0   Global Step: 920   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.3173  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:01:42,901-Speed 2005.51 samples/sec   Loss 20.4167   LearningRate 0.000995   Epoch: 0   Global Step: 940   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.3501  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:01:48,010-Speed 2005.02 samples/sec   Loss 20.3463   LearningRate 0.000995   Epoch: 0   Global Step: 960   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.4109  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:01:53,118-Speed 2005.35 samples/sec   Loss 20.3013   LearningRate 0.000995   Epoch: 0   Global Step: 980   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.3729  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:01:58,237-Speed 2000.69 samples/sec   Loss 20.2701   LearningRate 0.000995   Epoch: 0   Global Step: 1000   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.4197  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:02:03,343-Speed 2005.86 samples/sec   Loss 20.2522   LearningRate 0.000995   Epoch: 0   Global Step: 1020   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 4.5006  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:02:08,454-Speed 2004.21 samples/sec   Loss 20.1752   LearningRate 0.000995   Epoch: 0   Global Step: 1040   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.5105  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:02:13,565-Speed 2003.85 samples/sec   Loss 20.0966   LearningRate 0.000995   Epoch: 0   Global Step: 1060   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.6935  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:02:18,674-Speed 2005.23 samples/sec   Loss 20.1182   LearningRate 0.000995   Epoch: 0   Global Step: 1080   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.5830  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:02:23,781-Speed 2005.74 samples/sec   Loss 20.0770   LearningRate 0.000995   Epoch: 0   Global Step: 1100   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.6601  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:02:28,896-Speed 2002.35 samples/sec   Loss 20.0313   LearningRate 0.000994   Epoch: 0   Global Step: 1120   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.7807  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:02:34,012-Speed 2002.36 samples/sec   Loss 20.0199   LearningRate 0.000994   Epoch: 0   Global Step: 1140   Fp16 Grad Scale: 65536   Required: 15 hours Feat Norm 4.6148  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:02:39,122-Speed 2004.30 samples/sec   Loss 19.9949   LearningRate 0.000994   Epoch: 0   Global Step: 1160   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.7562  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:02:44,234-Speed 2004.00 samples/sec   Loss 19.9465   LearningRate 0.000994   Epoch: 0   Global Step: 1180   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.8072  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:02:49,343-Speed 2004.82 samples/sec   Loss 19.9065   LearningRate 0.000994   Epoch: 0   Global Step: 1200   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.7974  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:02:54,460-Speed 2001.68 samples/sec   Loss 19.7955   LearningRate 0.000994   Epoch: 0   Global Step: 1220   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.9063  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:02:59,572-Speed 2003.49 samples/sec   Loss 19.8205   LearningRate 0.000994   Epoch: 0   Global Step: 1240   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.7589  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:03:04,679-Speed 2005.89 samples/sec   Loss 19.8029   LearningRate 0.000994   Epoch: 0   Global Step: 1260   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.8521  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:03:09,787-Speed 2005.14 samples/sec   Loss 19.7962   LearningRate 0.000994   Epoch: 0   Global Step: 1280   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.8405  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:03:14,901-Speed 2002.56 samples/sec   Loss 19.7216   LearningRate 0.000994   Epoch: 0   Global Step: 1300   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 4.8711  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:03:20,004-Speed 2007.17 samples/sec   Loss 19.7188   LearningRate 0.000993   Epoch: 0   Global Step: 1320   Fp16 Grad Scale: 16384   Required: 15 hours Feat Norm 4.9662  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:03:25,109-Speed 2006.37 samples/sec   Loss 19.7043   LearningRate 0.000993   Epoch: 0   Global Step: 1340   Fp16 Grad Scale: 16384   Required: 15 hours Feat Norm 5.0130  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:03:30,223-Speed 2002.66 samples/sec   Loss 19.7196   LearningRate 0.000993   Epoch: 0   Global Step: 1360   Fp16 Grad Scale: 16384   Required: 15 hours Feat Norm 4.9507  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:03:35,330-Speed 2005.80 samples/sec   Loss 19.5770   LearningRate 0.000993   Epoch: 0   Global Step: 1380   Fp16 Grad Scale: 16384   Required: 15 hours Feat Norm 5.1594  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:03:40,435-Speed 2006.65 samples/sec   Loss 19.5540   LearningRate 0.000993   Epoch: 0   Global Step: 1400   Fp16 Grad Scale: 16384   Required: 15 hours Feat Norm 4.9393  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:03:45,539-Speed 2006.52 samples/sec   Loss 19.5853   LearningRate 0.000993   Epoch: 0   Global Step: 1420   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 5.0096  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:03:50,646-Speed 2005.66 samples/sec   Loss 19.5383   LearningRate 0.000993   Epoch: 0   Global Step: 1440   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 5.0522  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:03:55,755-Speed 2004.67 samples/sec   Loss 19.4989   LearningRate 0.000993   Epoch: 0   Global Step: 1460   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 5.1721  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:04:00,867-Speed 2003.42 samples/sec   Loss 19.4374   LearningRate 0.000993   Epoch: 0   Global Step: 1480   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 5.0841  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:04:05,978-Speed 2004.04 samples/sec   Loss 19.4079   LearningRate 0.000993   Epoch: 0   Global Step: 1500   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 5.0035  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:04:11,082-Speed 2006.67 samples/sec   Loss 19.4162   LearningRate 0.000992   Epoch: 0   Global Step: 1520   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 5.2269  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:04:16,186-Speed 2006.95 samples/sec   Loss 19.4405   LearningRate 0.000992   Epoch: 0   Global Step: 1540   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 5.2382  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:04:21,298-Speed 2003.53 samples/sec   Loss 19.3637   LearningRate 0.000992   Epoch: 0   Global Step: 1560   Fp16 Grad Scale: 32768   Required: 15 hours Feat Norm 5.4079  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:04:26,400-Speed 2007.39 samples/sec   Loss 19.3797   LearningRate 0.000992   Epoch: 0   Global Step: 1580   Fp16 Grad Scale: 16384   Required: 14 hours Feat Norm 5.3460  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:04:31,507-Speed 2005.52 samples/sec   Loss 19.3226   LearningRate 0.000992   Epoch: 0   Global Step: 1600   Fp16 Grad Scale: 16384   Required: 15 hours Feat Norm 5.1665  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:04:36,620-Speed 2003.57 samples/sec   Loss 19.2964   LearningRate 0.000992   Epoch: 0   Global Step: 1620   Fp16 Grad Scale: 16384   Required: 15 hours Feat Norm 5.3418  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:04:41,724-Speed 2006.52 samples/sec   Loss 19.2785   LearningRate 0.000992   Epoch: 0   Global Step: 1640   Fp16 Grad Scale: 16384   Required: 15 hours Feat Norm 5.3529  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:04:46,828-Speed 2006.63 samples/sec   Loss 19.2221   LearningRate 0.000992   Epoch: 0   Global Step: 1660   Fp16 Grad Scale: 16384   Required: 14 hours Feat Norm 5.2921  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:04:51,944-Speed 2002.24 samples/sec   Loss 19.2058   LearningRate 0.000992   Epoch: 0   Global Step: 1680   Fp16 Grad Scale: 32768   Required: 14 hours Feat Norm 5.2705  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:04:57,049-Speed 2006.08 samples/sec   Loss 19.1896   LearningRate 0.000992   Epoch: 0   Global Step: 1700   Fp16 Grad Scale: 32768   Required: 14 hours Feat Norm 5.4138  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:05:02,152-Speed 2007.10 samples/sec   Loss 19.1619   LearningRate 0.000991   Epoch: 0   Global Step: 1720   Fp16 Grad Scale: 32768   Required: 14 hours Feat Norm 5.2914  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:05:07,256-Speed 2006.64 samples/sec   Loss 19.2070   LearningRate 0.000991   Epoch: 0   Global Step: 1740   Fp16 Grad Scale: 16384   Required: 14 hours Feat Norm 5.4788  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:05:12,361-Speed 2006.40 samples/sec   Loss 19.0952   LearningRate 0.000991   Epoch: 0   Global Step: 1760   Fp16 Grad Scale: 16384   Required: 14 hours Feat Norm 5.6165  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:05:17,467-Speed 2005.81 samples/sec   Loss 19.0559   LearningRate 0.000991   Epoch: 0   Global Step: 1780   Fp16 Grad Scale: 16384   Required: 14 hours Feat Norm 5.4929  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:05:22,570-Speed 2007.12 samples/sec   Loss 19.0603   LearningRate 0.000991   Epoch: 0   Global Step: 1800   Fp16 Grad Scale: 16384   Required: 14 hours Feat Norm 5.5480  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:05:27,672-Speed 2007.38 samples/sec   Loss 19.0076   LearningRate 0.000991   Epoch: 0   Global Step: 1820   Fp16 Grad Scale: 16384   Required: 14 hours Feat Norm 5.4313  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:05:32,778-Speed 2005.91 samples/sec   Loss 19.0069   LearningRate 0.000991   Epoch: 0   Global Step: 1840   Fp16 Grad Scale: 32768   Required: 14 hours Feat Norm 5.5000  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:05:37,883-Speed 2006.30 samples/sec   Loss 18.9776   LearningRate 0.000991   Epoch: 0   Global Step: 1860   Fp16 Grad Scale: 32768   Required: 14 hours Feat Norm 5.6333  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:05:42,989-Speed 2005.94 samples/sec   Loss 18.9675   LearningRate 0.000991   Epoch: 0   Global Step: 1880   Fp16 Grad Scale: 32768   Required: 14 hours Feat Norm 5.5477  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:05:48,100-Speed 2004.14 samples/sec   Loss 18.9835   LearningRate 0.000991   Epoch: 0   Global Step: 1900   Fp16 Grad Scale: 32768   Required: 14 hours Feat Norm 5.6605  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:05:53,215-Speed 2002.43 samples/sec   Loss 18.9244   LearningRate 0.000991   Epoch: 0   Global Step: 1920   Fp16 Grad Scale: 32768   Required: 14 hours Feat Norm 5.6422  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:05:58,322-Speed 2005.25 samples/sec   Loss 18.8626   LearningRate 0.000990   Epoch: 0   Global Step: 1940   Fp16 Grad Scale: 16384   Required: 14 hours Feat Norm 5.7382  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:06:03,440-Speed 2001.48 samples/sec   Loss 18.8460   LearningRate 0.000990   Epoch: 0   Global Step: 1960   Fp16 Grad Scale: 16384   Required: 14 hours Feat Norm 5.8013  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:06:08,547-Speed 2005.65 samples/sec   Loss 18.8489   LearningRate 0.000990   Epoch: 0   Global Step: 1980   Fp16 Grad Scale: 16384   Required: 14 hours Feat Norm 5.6010  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:06:13,653-Speed 2005.73 samples/sec   Loss 18.8133   LearningRate 0.000990   Epoch: 0   Global Step: 2000   Fp16 Grad Scale: 16384   Required: 14 hours Feat Norm 5.6832  Reg Loss 0.0000  Meet Loss 0.0000
Training: 2024-02-18 01:06:19,753-[lfw][2000]XNorm: 5.635158
Training: 2024-02-18 01:06:19,753-[lfw][2000]Accuracy-Flip: 0.84517+-0.01661
Training: 2024-02-18 01:06:19,754-[lfw][2000]Accuracy-Highest: 0.84517
Training: 2024-02-18 01:06:26,744-[cfp_fp][2000]XNorm: 5.436391
Training: 2024-02-18 01:06:26,744-[cfp_fp][2000]Accuracy-Flip: 0.68914+-0.01735
Training: 2024-02-18 01:06:26,745-[cfp_fp][2000]Accuracy-Highest: 0.68914
Training: 2024-02-18 01:06:32,858-[agedb_30][2000]XNorm: 6.043224
Training: 2024-02-18 01:06:32,859-[agedb_30][2000]Accuracy-Flip: 0.57717+-0.01364
Training: 2024-02-18 01:06:32,860-[agedb_30][2000]Accuracy-Highest: 0.57717
